Symbol,Close,Open,Low,High,Average Price,Volume,Value,Market Cap,Previous Close,Trades,Net Foreign,Sector,Subsector,52-Week High,Earnings Per Share TTM (EPS),Price to Book Value (P/BV),52-Week Low,Price-Earnings Ratio TTM (P/E),Return on Equity (ROE),Fair Value,Dividends Per Share (DPS),Support 1,Resistance 1,Short-Term Trend,Support 2,Resistance 2,Medium-Term Trend,Week to Date %,Year to Date %,Month to Date %,MA 20,MA 20 status,MA 50,MA 50 status,MA 100,MA 100 status,MA 200,MA 200 status,RSI(14),MACD(12 26 9),ATR(14),CCI(20),STS(14 3 3),Williams %R(14),VolumeSMA(15),CandleStick(1),RVol,RvolIndicator,AOTS,Reversal
DITO,13.02,11.40,11.40,13.08,12.19,129110000,1570000000,36460000000,10.90,22490,0,Service,Information Technology,13.08,-0.01 (95.00%),7.84,1.00,-1168.00,2.02%,-,-,8.16,13.05,UPTREND,6.29,13.05,UPTREND,19.45%,19.45%,19.45%,8.03,BULLISH,7.00,BULLISH,5.32,BULLISH,3.81,BULLISH,92.10,1.1336 0.6724,0.6541 (5.02%),296.0792,94.2149,-0.9983,82465353.33,White Long Day,1.54,No,Yes,No
MM,7.99,6.60,6.60,8.00,7.32,127130000,930190000,60680000000,6.18,17890,0,Small Medium & Emerging Board,Small Medium & Emerging Board,8.00,0.01 (-100.00%),27.48,1.28,687.00,0.82%,-,-,5.86,8.00,UPTREND,5.36,8.00,UPTREND,29.29%,29.29%,29.29%,6.07,BULLISH,4.92,BULLISH,3.96,BULLISH,0.00,NEUTRAL,81.57,0.4484 0.3913,0.4063 (5.08%),517.9145,64.5407,-0.4255,36584513.33,White Long Day,3.11,Yes,Yes,No
ACEN,10.20,9.15,9.15,10.20,9.82,67710000,664760000,139660000000,9.00,12280,0,Industrial,Electricity Energy Power & Water,10.20,0.35 (369.23%),5.34,1.39,27.49,18.14%,-,-,7.10,10.20,UPTREND,6.02,10.20,UPTREND,13.33%,13.33%,13.33%,6.85,BULLISH,5.33,BULLISH,4.13,BULLISH,3.14,BULLISH,91.19,0.9511 0.6735,0.4660 (4.57%),283.9313,98.5475,0.0000,33054593.33,White Marubozu,1.84,No,Yes,No
SMPH,39.25,38.50,38.45,40.40,39.53,12520000,495010000,1130000000000,38.50,3870,0,Property,Property,43.00,0.86 (-31.75%),3.68,19.90,44.77,6.06%,-,-,37.90,39.82,UPTREND,35.50,41.88,UPTREND,1.95%,1.95%,1.95%,38.28,BULLISH,36.35,BULLISH,32.83,BULLISH,31.89,BULLISH,59.18,0.6302 0.7291,1.2378 (3.15%),182.1899,55.6900,-37.0968,11951260.00,None,0.93,No,Yes,No
BDO,105.00,106.90,104.70,108.00,105.85,4360000,460980000,460340000000,106.80,7060,0,Financial,Banks,158.60,6.47 (-34.11%),1.26,75.00,16.54,7.64%,-,-,104.00,108.65,UPTREND,92.40,115.40,UPTREND,-1.69%,-1.69%,-1.69%,108.72,BEARISH,100.42,BULLISH,94.57,BULLISH,97.74,BULLISH,47.67,1.7058 3.0594,3.1521 (3.00%),-61.6976,16.2465,-87.3950,3930776.00,None,1.02,No,Yes,No
PHA,1.32,1.17,1.14,1.34,1.25,328060000,411020000,2980000000,1.10,8350,0,Service,Other Services,1.34,0.10 (138.46%),4.03,0.17,11.70,-18.85%,-,-,0.98,1.33,UPTREND,0.68,1.43,UPTREND,20.00%,20.00%,20.00%,0.94,BULLISH,0.62,BULLISH,0.42,BULLISH,0.32,BULLISH,75.75,0.1500 0.1425,0.1057 (8.01%),148.2318,73.7675,-3.2258,198186600.00,White Long Day,1.35,No,Yes,No
APL,0.1630,0.1380,0.1330,0.1630,0.1470,2650000000,389260000,45690000000,0.1280,6530,0,Service,Information Technology,0.1630,0.00 (0.00%),13.80,0.0320,0.00,-0.60%,-,-,0.0945,0.1630,UPTREND,0.0510,0.1630,UPTREND,27.34%,27.34%,27.34%,0.0844,BULLISH,0.0656,BULLISH,0.0604,BULLISH,0.0531,BULLISH,95.99,0.0200 0.0126,0.0113 (6.94%),206.0202,89.0353,0.0000,1597139333.3333,White Long Day,1.43,No,Yes,No
RLC,21.25,21.00,20.60,21.30,20.95,14960000,313330000,110370000000,21.20,793,0,Property,Property,29.40,1.30 (-15.58%),1.07,10.00,16.12,5.01%,-,-,20.48,21.32,UPTREND,16.57,22.38,UPTREND,0.24%,0.24%,0.24%,20.14,BULLISH,17.60,BULLISH,16.08,BULLISH,16.11,BULLISH,68.28,1.1004 1.1948,0.8712 (4.10%),60.3980,74.4899,-21.6606,8182820.00,None,1.71,No,Yes,No
TEL,1363.00,1359.00,1356.00,1393.00,1376.97,183700,252950000,294480000000,1340.00,2700,0,Service,Telecommunications,1487.00,121.12 (40.71%),2.60,805.00,11.31,23.07%,-,-,1326.00,1378.00,SIDEWAYS,1271.50,1432.00,SIDEWAYS,1.72%,1.72%,1.72%,1345.10,BULLISH,1347.32,BULLISH,1365.76,BEARISH,1281.24,BULLISH,53.51,-0.8751 -2.3077,29.4352 (2.16%),133.0415,46.7429,-40.5405,169871.00,None,1.02,No,No,No
MBT,47.95,49.00,47.60,49.05,48.13,5110000,246010000,215650000000,49.05,4370,0,Financial,Banks,67.00,3.90 (-34.67%),0.69,32.90,12.54,7.35%,-,-,47.78,51.00,DOWNTREND,46.22,56.42,UPTREND,-2.24%,-2.24%,-2.24%,50.01,BEARISH,46.10,BULLISH,41.04,BULLISH,39.75,BULLISH,46.49,0.8925 1.4238,1.3375 (2.79%),-118.5094,17.4575,-92.2222,8832459.33,Black Long Day,0.57,No,Yes,No
ALI,42.00,40.80,40.65,42.00,41.48,5280000,219120000,618680000000,40.90,3370,0,Property,Property,45.05,0.57 (-72.73%),2.36,19.44,71.58,3.72%,-,-,40.68,42.05,UPTREND,37.00,43.90,UPTREND,2.69%,2.69%,2.69%,40.81,BULLISH,37.39,BULLISH,34.01,BULLISH,33.55,BULLISH,63.85,1.2038 1.3857,1.2647 (3.01%),64.7607,84.5070,-2.8169,8672866.67,White Long Day,0.59,No,Yes,No
SM,1060.00,1055.00,1046.00,1068.00,1060.11,208000,220500000,1280000000000,1049.00,2320,0,Holding Firms,Holding Firms,1100.00,22.19 (-39.21%),3.23,509.50,47.18,6.22%,-,-,1045.50,1077.50,UPTREND,967.50,1100.00,UPTREND,1.05%,1.05%,1.05%,1051.20,BULLISH,1009.45,BULLISH,945.27,BULLISH,910.15,BULLISH,53.99,14.9276 18.8364,33.6434 (3.17%),37.1525,41.8700,-53.8462,263146.33,None,0.76,No,Yes,No
GTCAP,595.00,588.00,583.00,604.00,592.97,309180,183330000,128090000000,585.00,2200,0,Holding Firms,Holding Firms,878.00,37.36 (-52.21%),0.77,290.00,16.06,2.88%,-,-,579.75,603.25,DOWNTREND,525.00,671.25,UPTREND,1.71%,1.71%,1.71%,626.33,BEARISH,544.15,BULLISH,471.25,BULLISH,462.11,BULLISH,49.82,11.0538 23.9234,21.3689 (3.59%),-85.1455,8.9474,-82.6316,299938.00,None,0.95,No,Yes,No
NOW,4.24,4.33,3.96,4.55,4.13,40280000,166270000,7660000000,4.33,4140,0,Service,Information Technology,6.39,0.00 (0.00%),3.51,1.00,0.00,0.71%,-,-,4.10,5.06,SIDEWAYS,3.92,5.42,SIDEWAYS,-2.08%,-2.08%,-2.08%,4.72,BEARISH,4.64,BEARISH,3.70,BULLISH,2.76,BULLISH,40.64,0.0147 0.0825,0.2942 (6.94%),-204.7650,15.1459,-77.9528,17955893.33,None,2.05,Yes,Yes,No
MEG,4.18,4.07,4.00,4.18,4.11,36280000,149250000,133350000000,4.08,2040,0,Property,Property,4.45,0.38 (-25.49%),0.70,1.86,10.68,5.78%,-,-,3.90,4.22,UPTREND,3.76,4.38,UPTREND,2.45%,2.45%,2.45%,4.00,BULLISH,3.61,BULLISH,3.30,BULLISH,3.09,BULLISH,65.18,0.1200 0.1380,0.1317 (3.15%),152.4232,71.1111,0.0000,25578066.67,None,1.28,No,Yes,No
BPI,82.40,81.40,81.00,82.40,81.74,1760000,143630000,371880000000,81.35,2500,0,Financial,Banks,92.00,5.31 (-14.77%),1.31,48.00,15.44,8.42%,-,-,81.02,82.95,SIDEWAYS,76.90,86.58,UPTREND,1.29%,1.29%,1.29%,82.38,BULLISH,79.67,BULLISH,72.20,BULLISH,69.09,BULLISH,52.44,0.3699 0.8282,2.0622 (2.50%),-51.1068,19.8413,-53.3333,2664078.67,White Long Day,0.65,No,Yes,No
